M,N,tol,price,abs_error,mean_psor_iterations,total_psor_iterations,runtime_s,hit_max_iter
800,800,0.001,6.042705611010025,0.04766500162577536,3.8775,3102,0.0556953749999991,False
800,800,0.0001,6.088019997338921,0.0023506152968790772,6.35375,5083,0.08001620800001774,False
800,800,1e-05,6.0898335631749445,0.000537049460855421,8.99,7192,0.10618691600001284,False
800,800,1e-06,6.089565178933601,0.0008054337021992097,11.49375,9195,0.12951570899997478,False
800,800,1e-08,6.089542607303167,0.0008280053326332748,16.54625,13237,0.1763918750000073,False
800,800,1e-10,6.089542779108516,0.0008278335272837722,21.59625,17277,0.22364258299998596,False
800,800,1e-12,6.089542778184038,0.000827834451762044,26.63,21304,0.2691069999999911,False
3200,3200,0.001,6.123167977969994,0.03279736533419442,5.7178125,18297,0.6666926660000172,False
3200,3200,0.0001,6.123909273417116,0.033538660781315954,6.0303125,19297,0.6939500830000043,False
3200,3200,1e-05,6.087882866925213,0.002487745710586964,7.495,23984,0.823888457999999,False
3200,3200,1e-06,6.0903245046993995,4.6107936400474614e-05,9.7834375,31307,1.025644332999974,False
3200,3200,1e-08,6.090304367217493,6.624541830735353e-05,14.9153125,47729,1.4605446669999935,False
3200,3200,1e-10,6.090305181534418,6.543110138235164e-05,21.7178125,69497,2.0510087920000046,False
3200,3200,1e-12,6.0903051830020996,6.542963370037569e-05,30.4790625,97533,3.072431249999994,False
