regime,note,S0,K,T,r,sigma,q,european_bs,american_crr_20k,crr_runtime_s,american_cn_psor,cn_runtime_s,abs_diff_cn_vs_crr,early_exercise_premium,S_star_0,mean_psor_iterations
base,at-the-money reference contract,100.0,100.0,1.0,0.05,0.2,0.0,5.573526022256971,6.090333231732376,0.8703544999999906,6.090219328196719,0.8278056670000069,0.00011390353565676747,0.5166933059397483,80.90988960744865,18.7335
itm,in-the-money put: large early-exercise region,85.0,100.0,1.0,0.05,0.2,0.0,13.336541003219267,15.315806379602456,0.8657914580000181,15.31570356766237,0.8403733330000023,0.00010281194008676664,1.9791625644431026,80.90988960744865,18.7335
otm,out-of-the-money put: few in-the-money Monte Carlo paths,115.0,100.0,1.0,0.05,0.2,0.0,1.9134549781025285,2.036787912502722,0.8733762079999963,2.0366185450807484,0.6688334170000019,0.0001693674219738206,0.12316356697821984,80.88007233613818,14.752
low_vol,"low volatility: exercise boundary close to the strike, stiff PDE",100.0,100.0,1.0,0.05,0.1,0.0,1.92790015889355,2.43676660989572,0.8707296669999778,2.4365217432523485,0.48307366700001353,0.000244866643371644,0.5086215843587985,92.75859925011835,10.148
high_vol,"high volatility: wide grid needed, large continuation value",100.0,100.0,1.0,0.05,0.4,0.0,13.145893900288087,13.667514473826346,0.8655001250000112,13.667488974035752,6.351662041999987,2.5499790593741523e-05,0.5215950737476653,58.53971117160533,159.3405
short_maturity,"short maturity: few exercise dates, steep payoff kink",100.0,100.0,0.25,0.05,0.2,0.0,3.372777178991008,3.4798325081392307,0.8598834160000024,3.4796066466651405,0.4878928329999894,0.0002258614740902054,0.1068294676741326,86.80907439408747,10.239
long_maturity,long maturity: large early-exercise premium,100.0,100.0,3.0,0.05,0.2,0.0,6.995158595400991,8.71058763286649,0.8572486670000217,8.710540084310713,3.4148553330000198,4.754855577715489e-05,1.7153814889097223,76.33064577407758,85.397
high_rate,high rate: strong incentive to exercise early,100.0,100.0,1.0,0.1,0.2,0.0,3.753418388256833,4.816240803582017,0.8547487499999988,4.8161327707882595,0.7759903749999921,0.00010803279375704022,1.0627143825314267,86.30958908889292,17.627
zero_rate,zero rate: American put must coincide with the European put,100.0,100.0,1.0,0.0,0.2,0.0,7.965567455405804,7.965467887112375,0.8488836249999849,7.965468746614022,0.8158891250000124,8.595016467438654e-07,-9.870879178208725e-05,0.6000000000000001,19.9265
dividend,continuous dividend yield: early exercise for calls becomes possible,100.0,100.0,1.0,0.05,0.2,0.04,7.1466420693023025,7.305792624748974,0.8566247500000088,7.305723579630488,0.8508272079999983,6.904511848571104e-05,0.15908151032818552,73.58844841287045,19.6305
