axis,M,N,h,price,runtime_s,mean_psor_iterations,abs_error,rel_error,local_order
space,100,6400,4.0,6.04400538686736,0.7864406249999973,16.5759375,0.046365225768440155,0.007612874276032628,
space,200,6400,2.0,6.07905468604574,0.8607114579999973,16.66390625,0.011315926590059533,0.0018580029541358583,2.0346884572541937
space,400,6400,1.0,6.087488797431462,1.0485138749999976,16.565625,0.0028818152043381673,0.00047317567150334235,1.9733049915236878
space,800,6400,0.5,6.089642649904521,1.3929943750000007,16.610625,0.0007279627312790637,0.00011952683630922994,1.9850413286998017
space,1600,6400,0.25,6.090182232454408,2.0800090420000004,16.9659375,0.00018838018139177848,3.093082397989751e-05,1.9502173985595115
space,3200,6400,0.125,6.090317101727965,3.2283795000000026,16.59625,5.3510907834564136e-05,8.786149684149616e-06,1.8157422834823997
time,6400,100,0.01,6.088796922642827,10.004657667000018,2017.41,0.0015736899929725823,0.000258389857212896,
time,6400,200,0.005,6.0897049289796,10.04319345899998,1001.6,0.0006656836561997892,0.00010930100950157015,1.2412427140930908
time,6400,400,0.0025,6.090081957919503,9.978422957999982,498.5925,0.0002886547162965769,4.739526289216289e-05,1.205491950214498
time,6400,800,0.00125,6.090240877518697,10.02542975,248.15625,0.00012973511710256957,2.1301678560152944e-05,1.1537757519629235
time,6400,1600,0.000625,6.090308466066945,10.057719916999986,123.13,6.214656885461523e-05,1.020407013091759e-05,1.0618223989830633
time,6400,3200,0.0003125,6.090337378248258,10.011905791999993,60.4953125,3.3234387541547505e-05,5.4568744096780465e-06,0.9029979740115003
both,100,100,4.0,6.0428593764186225,0.015397750000005317,21.45,0.047511236217177455,0.007801041880539265,
both,200,200,2.0,6.078568031102212,0.03304720799999927,20.74,0.01180258153358782,0.0019379085911620541,
both,400,400,1.0,6.0872779321791235,0.07773241699999289,20.0025,0.003092680456676433,0.0005077984006851725,
both,800,800,0.5,6.089542782807744,0.19802954100001102,19.15625,0.0008278298280561813,0.00013592437648025362,
both,1600,1600,0.25,6.0901436204149135,0.5541344159999824,18.264375,0.0002269922208864017,3.7270674532590334e-05,
both,3200,3200,0.125,6.090305212194985,1.7244621250000023,18.03125,6.540044081493335e-05,1.0738335148151066e-05,
both,6400,6400,0.0625,6.090350145880894,9.774876041999988,28.66625,2.0466754905967832e-05,3.3605105842828503e-06,
