N,american_put,european_put_exact,early_exercise_premium,runtime_s,delta_vs_previous
25,6.146185438734879,5.573526022256971,0.572659416477908,0.0001191249999999977,
50,6.073727985724864,5.573526022256971,0.5002019634678936,0.00020995799999989906,0.07245745301001438
100,6.082354409142496,5.573526022256971,0.5088283868855257,0.0004177499999999945,0.00862642341763209
200,6.0863827499160665,5.573526022256971,0.5128567276590958,0.0009769579999999722,0.0040283407735701715
400,6.088405897038808,5.573526022256971,0.5148798747818377,0.0022083330000000068,0.002023147122741875
800,6.089401615334951,5.573526022256971,0.5158755930779799,0.004571915999999954,0.0009957182961422006
1600,6.089892598880403,5.573526022256971,0.5163665766234322,0.010699416999999989,0.0004909835454522948
3200,6.0901329844811345,5.573526022256971,0.5166069622241638,0.03002312500000004,0.00024038560073158521
6400,6.090252890206722,5.573526022256971,0.5167268679497514,0.10007908399999987,0.00011990572558762125
12800,6.0903119694326335,5.573526022256971,0.5167859471756628,0.357781667,5.907922591141812e-05
