n_paths,n_steps,method,degree,basis,n_seeds,mean_price,bias,sd_across_seeds,variance_across_seeds,rmse,mean_reported_se,mean_ci_width,mean_runtime_s,total_runtime_s,rel_rmse
2000,50,naive,3,poly,8,6.056614809698217,-0.03375580293758329,0.24716501662174167,0.06109054544162584,0.23365290816376239,0.16180710144553784,0.6342721827009912,0.007376739625005513,0.0590139170000441,0.038364316890502285
5000,50,naive,3,poly,8,6.107821990711426,0.017451378075626245,0.12861102878031985,0.01654079672393226,0.1215637599376524,0.10159558628337619,0.3982473803007546,0.013970135750000168,0.11176108600000134,0.019959993844289526
10000,50,naive,3,poly,8,6.087240407260115,-0.00313020537568498,0.039292074467644635,0.0015438671159709314,0.03688742214046043,0.07186021126498462,0.2816868520677223,0.0237490363749977,0.1899922909999816,0.00605667938564025
25000,50,naive,3,poly,8,6.084281032766302,-0.006089579869497541,0.033484720406839495,0.0011212265007242135,0.031908559527510344,0.0452510343806623,0.17738079534018977,0.0568173333749975,0.45453866699998,0.005239181908127083
50000,50,naive,3,poly,8,6.083791317521204,-0.006579295114596206,0.038257351804420144,0.001463624967087169,0.03638624699534454,0.032076192318703484,0.12573636344118494,0.11461942699999383,0.9169554159999507,0.00597438962414756
100000,50,naive,3,poly,8,6.057410073722891,-0.032960538912909065,0.024375340650166947,0.0005941572318116812,0.04007848179839944,0.022703676521763992,0.08899677661949498,0.23652218224999544,1.8921774579999635,0.006580631023545252
200000,50,naive,3,poly,8,6.0713028137899325,-0.0190677988458674,0.022894126477577898,0.0005241410271713333,0.02867410594249386,0.016071264560576483,0.06299819946427351,0.4946885678749986,3.9575085429999888,0.004708105264235182
400000,50,naive,3,poly,8,6.073602028882291,-0.016768583753508537,0.013860936258018217,0.00019212555394884407,0.021196586064827497,0.011358783393903803,0.04452561273093504,1.0584587917500023,8.467670334000019,0.0034803442044808513
2000,50,antithetic_control,3,poly,8,6.03386909941695,-0.05650151321884955,0.07010862767462692,0.004915219674419462,0.08656349236910925,0.09322237723635929,0.36542500395869604,0.007671432249999555,0.06137145799999644,0.014213173199922257
5000,50,antithetic_control,3,poly,8,6.077689503579081,-0.012681109056718931,0.06547190340240552,0.00428657013513392,0.06254246073789065,0.05865026993553849,0.2299048335683674,0.015680807250003426,0.1254464580000274,0.010269073052489235
10000,50,antithetic_control,3,poly,8,6.0802348099520565,-0.010135802683743478,0.02906386376082786,0.0008447081767079629,0.02901472299821704,0.04188741334230944,0.16419564315146995,0.027857604250002055,0.22286083400001644,0.004764032411758273
25000,50,antithetic_control,3,poly,8,6.06445385834771,-0.02591675428809026,0.021456893617442796,0.00046039828371025743,0.03277997332329238,0.02630302535011348,0.10310596476552887,0.06600568225000103,0.5280454580000082,0.005382262494056304
50000,50,antithetic_control,3,poly,8,6.0720731851786685,-0.018297427457131477,0.026732985403803106,0.00071465250859995,0.030985751508942443,0.018595502070444657,0.07289302868212892,0.1332158331249964,1.0657266649999713,0.005087662718694944
100000,50,antithetic_control,3,poly,8,6.069933370461618,-0.020437242174182302,0.010937871274086594,0.00011963702800848868,0.02285526782152478,0.013117708189474886,0.051420471234220666,0.2755665053749965,2.204532042999972,0.003752689167077378
200000,50,antithetic_control,3,poly,8,6.074757981947124,-0.015612630688676354,0.006489452546274438,4.211299435034778e-05,0.016751212107711983,0.009293217981145092,0.03642874509559758,0.5774752500000027,4.619802000000021,0.0027504421607706347
400000,50,antithetic_control,3,poly,8,6.076763149727299,-0.013607462908501233,0.00605677543750422,3.6684528700354435e-05,0.014739810358991868,0.006571343465704646,0.025759193051692376,1.2323156717500012,9.85852537400001,0.0024201828257234335
